Tipo,Clave,Cliente,Nombre,Estatus,Su pedido,Fecha de elaboración,Subtotal,Total de comisiones,Número de almacén,Forma de envío del documento,Importe total,Nombre del vendedor
Pedido,                3826,        18,DELMAN INTERNACIONAL,Remitido,OP.19791 / OC.16407,05/01/2026,"28,564.90",0.00,1,Impreso,"33,135.28",Luis de León
Pedido,                3829,       312,INFORMACION INTEGRAL 24/7,Remitido,2,05/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3828,        18,DELMAN INTERNACIONAL,Remitido,OP. 19798 / OC.16414,05/01/2026,"14,277.90",0.00,1,Impreso,"16,562.36",Luis de León
Pedido,                3827,        18,DELMAN INTERNACIONAL,Remitido,OP. 19797 / OC.16413,05/01/2026,"14,264.90",0.00,1,Impreso,"16,547.28",Luis de León
Pedido,                3831,        18,DELMAN INTERNACIONAL,Remitido,OP.19779/OC.16386,05/01/2026,"25,081.00",0.00,1,Impreso,"29,093.96",Luis de León
Pedido,                3824,        18,DELMAN INTERNACIONAL,Remitido,OP.19777 / OC.16406,05/01/2026,"1,519.00",0.00,1,Impreso,"1,762.04",Luis de León
Pedido,                3830,       268,IGLESIA UNIVERSAL DEL REINO DE DIOS ORACION FUERTE AL ESPIRITU SANTO,Remitido,1,05/01/2026,"60,540.20","3,027.01",1,Impreso,"70,226.63",Elias Mendoza Jimenez
Pedido,                3825,        18,DELMAN INTERNACIONAL,Remitido,OP.19781 / OC.16408,05/01/2026,"15,604.40",0.00,1,Impreso,"18,101.10",Luis de León
Pedido,                3832,       312,INFORMACION INTEGRAL 24/7,Remitido,22,06/01/2026,"13,312.00",0.00,1,Impreso,"15,441.92",
Pedido,                3833,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1389,06/01/2026,"11,652.50",582.63,1,Impreso,"13,516.90",Oscar Mejia
Pedido,                3834,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1376,06/01/2026,"17,286.00",864.30,1,Impreso,"20,051.76",Oscar Mejia
Pedido,                3835,       287,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,Remitido,1377,06/01/2026,"15,573.90",778.70,1,Impreso,"18,065.72",Oscar Mejia
